Nama Warna	Kode Heximal	RGB
Maroon	#800000	RGB (128, 4, 0)
 
Medium Aqua Marine	#66CDAA	RGB (102, 205, 170)
 
Medium Blue	#0000CD	RGB (0, 0, 205)
 
Medium Orchid	#BA55D3	RGB (186, 85, 211)
 
Medium Purple	#9370DB	RGB (147, 112, 219)
 
Medium Sea Green	#3CB371	RGB (60, 179, 113)
 
Medium Slate Blue	#7B68EE	RGB (123, 103, 238)
 
Medium Spring Green	#00FA9A	RGB (62, 250, 153)
 
Medium Turquoise	#48D1CC	RGB (72, 209, 204)
 
Medium Violet Red	#C71585	RGB (199, 21, 133)
 
Midnight Blue	#191970	RGB (25, 25, 112)
 
Mint Cream	#F5FFFA	RGB (245, 255, 250)
 
Misty Rose	#FFE4E1	RGB (254, 228, 225)
 
Moccasin	#FFE4B5	RGB (254, 228, 181)
 
Navajo White	#FFDEAD	RGB (254, 222, 173)
 
Navy	#000080	RGB (0, 0, 128)
 
Old Lace	#FDF5E6	RGB (253, 245, 230)
 
Olive	#808000	RGB (128, 128, 1)
 
Olive Drab	#6B8E23	RGB (107, 142, 35)
 
Orange	#FFA500	RGB (252, 165, 3)
 
Orange Red	#FF4500	RGB (250, 69, 1)
 
Orchid	#DA70D6	RGB (218, 112, 214)
 
Pale Golden Rod	#EEE8AA	RGB (238, 232, 170)
 
Pale Green	#98FB98	RGB (152, 251, 153)
 
Pale Turquoise	#AFEEEE	RGB (175, 238, 239)
 
Pale Violet Red	#DB7093	RGB (219, 112, 147)
 
Papaya Whip	#FFEFD5	RGB (254, 239, 213)
 
Peach Puff	#FFDAB9	RGB (253, 218, 185)
 
Peru	#CD853F	RGB (205, 133, 63)
 
Pink	#FFC0CB	RGB (252, 192, 203)
 
Plum	#DDA0DD	RGB (221, 160, 221)
 
Powder Blue	#B0E0E6	RGB (176, 224, 230)
 
Purple	#800080	RGB (128, 0, 128)
 
Rebecca Purple	#663399	RGB (102, 51, 153)
 
Red	#FF0000	RGB (255, 0, 0)
 
Rosy Brown	#BC8F8F	RGB (188, 143, 142)
 
Royal Blue	#4169E1	RGB (65, 105, 225)
 
Saddle Brown	#8B4513	RGB (139, 69, 19)
 
Salmon	#FA8072	RGB (250, 128, 114)
 
Sandy Brown	#F4A460	RGB (244, 164, 95)
 
Sea Green	#2E8B57	RGB (46, 139, 87)
 
Sea Shell	#FFF5EE	RGB (255, 245, 238)
 
Sienna	#A0522D	RGB (160, 82, 45)
 
Silver	#C0C0C0	RGB (192, 192, 192)
 
Sky Blue	#87CEEB	RGB (135, 206, 235)
 
Slate Blue	#6A5ACD	RGB (106, 90, 205)
 
Slate Gray	#708090	RGB (112, 128, 145)
 
Snow	#FFFAFA	RGB (255, 250, 250)
 
Spring Green	#00FF7F	RGB (63, 255, 128)
 
Steel Blue	#4682B4	RGB (70, 130, 180)
 
Tan	#D2B48C	RGB (210, 180, 140)
 
Teal	#008080	RGB (26, 128, 127)
 
Thistle	#D8BFD8	RGB (216, 191, 216)
 
Tomato	#FF6347	RGB (250, 99, 71)
 
Turquoise	#40E0D0	RGB (64, 224, 208)
 
Violet	#EE82EE	RGB (238, 130, 238)
 
Wheat	#F5DEB3	RGB (245, 222, 179)
 
White	#FFFFFF	RGB (255, 255, 255)
 
White Smoke	#F5F5F5	RGB (245, 245, 245)
 
Yellow	#FFFF00	RGB (255, 255, 0)
 
Yellow Green	#9ACD32	RGB (154, 205, 49)
